status	time_s	bytes	path
200	0.210515	14461	/api/content/feeds/scroll?page=0&size=10
200	0.079875	4404	/api/content/feeds/hot
200	0.195069	28790	/api/content/feeds/following
200	0.091449	15183	/api/content/battles?page=0&size=10
200	0.074062	9095	/api/content/battles/hot
200	0.064728	52	/api/content/battles/creation/validation
200	0.069235	5780	/api/content/categories
500	0.057403	66	/api/content/categories/popular
200	0.075121	6781	/api/content/products?page=0&size=10
200	0.057552	753	/api/content/hashtags/hot
200	0.061578	67	/api/content/dashboard/summary
200	0.070937	292	/api/content/carriers/me
200	0.230402	1510	/api/chat/v1/chat/rooms
200	0.336077	3163	/api/chat/notifications?page=0&size=10
200	0.125653	339	/api/chat/notifications/unread
200	0.062618	35	/api/chat/notifications/unread/count
200	0.189737	6641	/api/auth/auth/verify
200	0.162260	198	/api/auth/user/1
200	0.057306	6641	/api/user/1/profile
200	0.099039	504	/api/auth/user/1/profile
500	0.065177	66	/api/auth/user/1/following
500	0.067559	66	/api/auth/user/1/followers
200	0.061545	79	/api/auth/user/1/notification-settings
200	0.083928	2030	/api/content/feeds/146
200	0.061596	631	/api/content/feeds/146/comments?page=0&size=20
200	0.098132	5610	/api/content/battles/22
200	0.064068	1647	/api/content/battles/22/comments?page=0&size=10
200	0.078033	4183	/api/content/battles/22/items
200	0.062068	888	/api/content/products/2106
200	0.081611	2	/api/content/products/2106/reviews?page=0&size=10
200	0.081534	836	/api/content/products/2106/feeds
200	0.070387	57	/api/content/products/2106/battles
200	0.606893	311	POST /api/auth/files/upload
500	0.156057	66	/api/auth/files/download/2547
500	0.090103	66	/api/auth/files/2547/presigned/download
